Height,Weight,BMI,BodyFat,Type
180,60,18,10,Ectomorph
182,62,19,11,Ectomorph
185,64,18,9,Ectomorph
178,58,17,8,Ectomorph
176,61,19,10,Ectomorph
183,65,20,12,Ectomorph
181,63,19,11,Ectomorph
179,60,18,10,Ectomorph
184,66,20,12,Ectomorph
177,59,18,9,Ectomorph
186,67,20,11,Ectomorph
180,62,19,10,Ectomorph
175,57,18,8,Ectomorph
182,64,19,11,Ectomorph
188,69,20,12,Ectomorph
170,70,22,14,Mesomorph
172,74,23,15,Mesomorph
175,78,25,16,Mesomorph
178,80,26,18,Mesomorph
180,82,25,17,Mesomorph
176,76,24,16,Mesomorph
174,75,24,15,Mesomorph
177,79,25,17,Mesomorph
181,84,26,18,Mesomorph
179,81,25,17,Mesomorph
173,73,23,15,Mesomorph
171,72,23,14,Mesomorph
182,85,26,18,Mesomorph
178,77,24,16,Mesomorph
176,78,25,17,Mesomorph
165,92,34,30,Endomorph
168,95,35,32,Endomorph
170,98,36,34,Endomorph
162,90,34,31,Endomorph
166,94,35,33,Endomorph
169,100,37,35,Endomorph
164,89,33,29,Endomorph
167,96,36,34,Endomorph
171,102,38,36,Endomorph
163,91,34,30,Endomorph
168,97,36,35,Endomorph
165,93,35,32,Endomorph
170,99,37,35,Endomorph
166,92,34,31,Endomorph
169,101,38,36,Endomorph
181,61,18,10,Ectomorph
183,63,19,11,Ectomorph
185,65,20,12,Ectomorph
178,59,18,9,Ectomorph
176,60,19,10,Ectomorph
174,72,23,15,Mesomorph
177,77,24,16,Mesomorph
179,80,25,17,Mesomorph
182,83,26,18,Mesomorph
175,76,24,16,Mesomorph
167,94,35,32,Endomorph
169,97,36,34,Endomorph
171,101,38,36,Endomorph
164,90,34,30,Endomorph
166,93,35,31,Endomorph
180,63,19,11,Ectomorph
184,67,20,12,Ectomorph
186,68,20,11,Ectomorph
178,60,18,10,Ectomorph
177,61,19,10,Ectomorph
172,73,23,15,Mesomorph
174,74,24,15,Mesomorph
176,79,25,17,Mesomorph
178,81,26,18,Mesomorph
181,85,27,19,Mesomorph
165,91,34,30,Endomorph
167,95,35,33,Endomorph
170,100,37,35,Endomorph
163,89,33,29,Endomorph
168,96,36,34,Endomorph
182,64,19,11,Ectomorph
185,66,20,12,Ectomorph
179,62,19,10,Ectomorph
176,58,18,8,Ectomorph
183,65,20,11,Ectomorph
171,71,22,14,Mesomorph
173,75,24,15,Mesomorph
177,78,25,16,Mesomorph
180,83,26,18,Mesomorph
178,79,25,17,Mesomorph
166,92,34,31,Endomorph
169,98,36,34,Endomorph
171,103,39,37,Endomorph
164,91,34,30,Endomorph
167,94,35,32,Endomorph
181,62,18,10,Ectomorph
184,66,20,11,Ectomorph
186,69,20,12,Ectomorph
177,60,18,9,Ectomorph
175,59,18,8,Ectomorph
172,74,23,15,Mesomorph
175,77,24,16,Mesomorph
178,82,26,18,Mesomorph
180,84,27,19,Mesomorph
176,76,24,16,Mesomorph
165,93,35,32,Endomorph
168,97,36,34,Endomorph
170,101,38,36,Endomorph
163,90,34,30,Endomorph
166,95,35,33,Endomorph
